index,split,logMedianBrightness
0,train,3.719212
1,train,1.301030
2,val,1.301031
3,train,1.301189
4,train,3.708478
5,train,3.582764
6,train,1.499573
7,train,3.659013
8,train,3.573855
9,val,1.301031
10,train,3.872970
11,train,1.301030
12,val,3.767735
13,train,2.960702
14,train,1.301030
15,train,3.631027
16,train,3.729084
17,train,3.137392
18,train,2.633845
19,train,1.318630
20,train,1.301032
21,val,1.301031
22,train,1.383828
23,train,1.661894
24,test,1.299224
25,train,1.450932
26,test,1.582552
27,train,1.525357
28,test,1.301030
29,train,1.366834
30,train,3.671778
31,train,3.738389
32,train,3.704345
33,train,3.576377
34,train,3.739810
35,train,3.621413
36,train,3.259328
37,train,3.736250
38,train,3.342764
39,train,3.352026
40,train,3.742521
41,train,3.719567
42,train,3.699200
43,train,3.638627
44,train,3.547796
45,train,3.643543
46,train,3.422111
47,train,3.122440
48,train,3.654534
49,val,3.421505
50,train,1.618027
51,train,3.604242
52,train,3.583657
53,train,3.629315
54,train,3.581851
55,train,3.276396
56,train,3.629275
57,train,3.691308
58,train,3.636740
59,train,3.654549
60,train,3.675806
61,train,3.648335
62,train,3.591570
63,val,3.617985
64,train,1.646882
65,val,3.567865
66,test,3.573961
67,train,1.301030
68,train,3.605068
69,train,3.137354
70,train,3.819684
71,train,3.833404
72,test,3.759144
73,train,3.737505
74,train,3.656358
75,train,3.585211
76,train,3.574881
77,val,3.855894
78,train,3.263381
79,val,3.577537
80,train,3.601923
81,val,3.693333
82,train,3.574859
83,train,3.679189
84,train,3.731162
85,train,3.638206
86,test,3.727954
87,test,3.639488
88,train,3.699013
89,train,3.473142
90,val,3.034891
91,train,3.443720
92,train,1.369631
93,val,1.301032
94,test,3.688542
95,test,1.476360
96,train,1.301030
97,test,1.301031
98,test,3.123160
99,train,1.593824
100,val,1.301031
101,train,3.686502
102,val,3.231179
103,val,1.449601
104,train,3.259099
105,test,3.695620
106,train,3.639505
107,train,3.580462
108,train,3.636357
109,train,1.302327
110,test,3.288705
111,val,3.484752
112,train,1.301030
113,train,3.692621
114,train,3.138934
115,train,3.509897
116,train,3.297305
117,train,1.299444
118,train,1.302373
119,train,3.561981
120,train,1.301570
121,test,1.773462
122,train,1.453438
123,train,3.735061
124,train,1.301030
125,train,1.301032
126,val,1.681763
127,train,3.496844
128,train,3.719649
129,train,1.304268
130,train,1.601319
131,val,3.256584
132,train,1.301114
133,train,3.740396
134,val,3.511647
135,train,3.764069
136,train,1.301030
137,train,1.749830
138,train,1.301032
139,val,3.569614
140,test,1.519817
141,train,3.444853
142,train,3.558076
143,val,3.378721
144,train,3.753568
145,train,3.717130
146,val,1.378942
147,val,1.301088
148,train,1.577223
149,train,3.588438
150,train,3.361932
151,val,3.631988
152,train,3.814293
153,test,3.459324
154,test,1.651284
155,train,1.308682
156,train,1.302215
157,test,1.301030
158,train,3.460876
159,train,3.465717
160,train,1.806706
161,train,3.691470
162,train,3.667129
163,train,3.300833
164,test,2.938559
165,train,1.406391
166,train,3.494609
167,test,3.498588
168,train,1.300982
169,train,3.339058
170,train,3.672454
171,train,3.571770
172,test,1.301031
173,train,3.425678
174,train,1.301031
175,train,3.559987
176,train,1.569055
177,train,1.351002
178,train,1.470194
179,val,3.285625
180,train,2.124065
181,train,3.194038
182,test,3.203295
183,train,3.709256
184,train,1.440656
185,train,1.592951
186,train,3.373830
187,test,3.387347
188,val,1.363305
189,val,1.595463
190,train,1.302556
191,train,3.506382
192,train,3.197100
193,train,3.126131
194,val,3.529473
195,train,3.529689
196,train,3.740520
197,val,1.690289
198,test,3.659808
199,train,3.824906
200,train,3.710717
201,test,1.425741
202,val,1.301032
203,train,3.529648
204,train,3.727804
205,train,3.635301
206,train,3.504021
207,val,3.798190
208,train,3.690284
209,val,3.691195
210,test,3.466467
211,train,1.301030
212,val,3.346348
213,test,1.301030
214,train,3.593628
215,train,3.500855
216,train,3.142886
217,train,3.867612
218,test,3.567922
219,test,3.766568
220,train,3.675717
221,train,3.627033
222,train,3.607201
223,train,3.693543
224,test,4.030664
225,test,3.705331
226,train,3.566330
227,train,3.627573
228,train,3.578389
229,test,1.301401
230,train,3.775240
231,test,3.593498
232,train,3.654128
233,train,1.672345
234,train,3.668080
235,test,3.580014
236,train,3.662078
237,train,3.592097
238,train,3.697588
239,train,3.825097
240,train,3.138934
241,val,3.794649
242,train,3.694159
243,train,3.083565
244,train,3.751917
245,train,3.701320
246,train,3.647584
247,train,3.622690
248,val,3.733580
249,test,3.804229
250,train,3.333884
251,train,3.537844
252,train,3.677994
253,train,3.758277
254,val,2.947023
255,train,3.406822
256,train,3.460007
257,test,3.648598
258,val,3.469623
259,test,3.753225
260,train,3.784066
261,train,3.686292
262,train,3.698411
263,val,3.537111
264,train,3.772892
265,train,3.600977
266,train,3.557629
267,train,1.301030
268,train,1.301031
269,val,1.301031
270,train,1.541318
271,val,1.301032
272,train,3.326988
273,train,1.301030
274,train,1.301030
275,train,1.688902
276,train,1.671877
277,train,1.451490
278,train,1.301030
279,train,1.455587
280,val,1.301030
281,train,1.449103
282,train,1.485347
283,train,1.534884
284,train,1.661835
285,test,1.301030
286,train,1.301030
287,train,1.299283
288,train,1.301904
289,train,1.301031
290,train,1.642490
291,val,1.301073
292,train,1.301030
293,val,1.521338
294,val,1.540028
295,val,1.548145
296,test,1.306106
297,train,1.302981
298,val,1.527885
299,train,1.907663
300,train,1.292982
301,train,1.837018
302,train,1.450398
303,train,1.301096
304,train,1.607081
305,train,1.301535
306,test,1.428198
307,val,1.607350
308,val,1.654755
309,train,1.301032
310,train,1.480326
311,train,1.303244
312,train,1.301091
