index,name,surrogate_role,oracle_role
0,AausFP1,test,train
1,AausGFP,train,train
2,Achilles,val,train
3,AdRed,train,val
4,afCFP,train,val
5,Aquamarine,test,train
6,avGFP,train,train
7,AvicFP1,train,train
8,AzamiGreen,train,val
9,Azurite,train,test
10,bfloGFPa1,val,train
11,Cerulean,train,test
12,cfSGFP2,train,val
13,cgfmKate2,train,val
14,CGFP,train,train
15,cgfTagRFP,train,val
16,Citrine,train,train
17,Citrine2,val,train
18,Clover,test,train
19,Crimson,train,train
20,CRISPRed2s,train,train
21,CyOFP1,train,train
22,CyPet,train,test
23,dCyOFP2s,train,test
24,dCyRFP2s,train,train
25,deGFP1,train,val
26,deGFP2,train,val
27,deGFP3,train,train
28,deGFP4,train,test
29,dendFP,train,train
30,Dendra,train,train
31,Dendra2,test,train
32,Dendra2-M159A,train,train
33,Dendra2-T69A,val,train
34,dfGFP,train,train
35,dimer2,train,train
36,Diogenes,test,train
37,dKeima,train,train
38,dLanYFP,test,train
39,Dreiklang,test,train
40,DsRed-Express,train,train
41,dTomato,val,train
42,E2-Crimson,train,test
43,E2-Orange,train,test
44,E2-Red/Green,test,train
45,EBFP1.2,val,train
46,EBFP1.5,train,val
47,EBFP2,val,train
48,ECFP,train,train
49,ECGFP,train,train
50,eCGP123,train,test
51,EGFP,train,train
52,eqFP611,train,test
53,eqFP650,train,train
54,eqFP670,test,train
55,EYFP,test,train
56,EYFP-Q69K,train,val
57,eYGFP,train,val
58,eYGFPuv,train,train
59,eYGPdp,train,train
60,ffDronpa,train,train
61,FOLD6,train,train
62,FusionRed,train,train
63,FusionRed-MQV,test,train
64,Gamillus,train,test
65,Gamillus0.1,train,train
66,Gamillus0.2,train,train
67,Gamillus0.3,train,train
68,Gamillus0.4,train,test
69,GdT,train,train
70,GGvT,test,train
71,h2-3,val,train
72,hmKeima8.5,train,train
73,htFuncLib_acid.1,train,test
74,htFuncLib_acid.2,train,test
75,htFuncLib_acid.3,test,train
76,htFuncLib_acid.4,train,train
77,htFuncLib_acid.5,train,train
78,htFuncLib_acid.6,train,train
79,htFuncLib_basic.1,train,train
80,htFuncLib_basic.2,train,test
81,htFuncLib_basic.3,train,train
82,htFuncLib_basic.4,train,train
83,htFuncLib_basic.6,val,train
84,htFuncLib_bleach.1,val,train
85,htFuncLib_bleach.2,train,test
86,htFuncLib_bleach.3,train,train
87,htFuncLib_bleach.4,train,val
88,htFuncLib_bleach.5,train,train
89,htFuncLib_bleach.6,train,train
90,htFuncLib_em-blue-shift.1,train,test
91,htFuncLib_em-blue-shift.2,train,train
92,htFuncLib_fast.1,val,train
93,htFuncLib_fast.2,test,train
94,htFuncLib_fast.3,train,train
95,htFuncLib_fast.4,train,train
96,htFuncLib_mid.10,train,train
97,htFuncLib_mid.11,train,train
98,htFuncLib_mid.12,test,train
99,htFuncLib_mid.13,train,val
100,htFuncLib_mid.2,train,train
101,htFuncLib_mid.3,train,train
