slug,name,organism,clade,length,em_max,top1_accuracy,mean_max_prob,mean_entropy_bits,median_rank_true,frac_true_in_top10,n_core_cols,mean_js_family,mean_family_entropy_bits,mean_esm_entropy_core_bits,top1_agree_family
aacugfp1,aacuGFP1,Acropora aculeus,Other FP,231,502.0,0.1299,0.1272,4.0571,6.0,0.7576,208,0.4341,2.1795,4.0639,0.1923
adred,AdRed,Acropora digitifera,Other FP,231,612.0,0.1429,0.126,4.0653,5.0,0.7403,208,0.433,2.1795,4.0648,0.1923
aeurgfp,aeurGFP,Acropora eurystoma,Other FP,231,515.0,0.1342,0.1434,3.985,6.0,0.7316,208,0.4182,2.1795,3.9793,0.2019
amilfp484,amilFP484,Acropora millepora,Anthozoa,231,484.0,0.1082,0.1404,4.0079,6.0,0.7532,208,0.4189,2.1795,4.0087,0.1827
amilfp490,amilFP490,Acropora millepora,Anthozoa,231,490.0,0.1212,0.1498,3.9711,6.0,0.7576,208,0.4153,2.1795,3.9695,0.1779
anobcfp1,anobCFP1,Acropora nobilis,Other FP,231,490.0,0.1342,0.1451,3.9896,6.0,0.7662,208,0.4175,2.1795,3.9894,0.1827
apulfp483,apulFP483,Acropora pulchra,Other FP,231,483.0,0.1169,0.1414,4.0042,6.0,0.7619,208,0.4195,2.1795,4.0075,0.1731
micy,MiCy,Acropora sp. #30,Other FP,232,495.0,0.1552,0.164,3.9029,6.0,0.7543,208,0.4168,2.1795,3.9256,0.1779
atenfp,atenFP,Acropora tenuis,Other FP,220,515.0,0.1182,0.1291,4.0324,6.0,0.7364,201,0.4281,2.1675,4.0294,0.1891
aq14,AQ14,Actinia equina,Anthozoa,231,663.0,0.1472,0.122,4.0837,7.0,0.684,207,0.4397,2.1798,4.1012,0.1787
aausfp1,AausFP1,Aequorea australis,Other FP,232,510.0,0.0991,0.1171,4.0895,6.0,0.7284,208,0.435,2.1795,4.0806,0.1731
acegfp,aceGFP,Aequorea coerulescens,Other FP,238,505.0,0.1429,0.1341,4.0164,7.0,0.7437,208,0.4367,2.1795,4.0114,0.1538
