index,name,role
0,AausFP1,test
1,AausGFP,train
2,Achilles,val
3,AdRed,train
4,afCFP,train
5,Aquamarine,test
6,avGFP,train
7,AvicFP1,train
8,AzamiGreen,train
9,Azurite,train
10,bfloGFPa1,val
11,CAR-GECO1,train
12,Cerulean,train
13,cfSGFP2,train
14,cgfmKate2,train
15,CGFP,train
16,cgfTagRFP,train
17,Citrine,val
18,Citrine2,test
19,Clover,train
20,Crimson,train
21,CRISPRed2s,train
22,CyOFP1,train
23,CyPet,train
24,dCyOFP2s,train
25,dCyRFP2s,train
26,deGFP1,train
27,deGFP2,train
28,deGFP3,train
29,deGFP4,train
30,dendFP,train
31,Dendra,test
32,Dendra2,train
33,Dendra2-M159A,val
34,Dendra2-T69A,train
35,dfGFP,train
36,dimer2,test
37,Diogenes,train
38,dKeima,test
39,dLanYFP,test
40,Dreiklang,train
41,DsRed-Express,val
42,dTomato,train
43,E2-Crimson,train
44,E2-Orange,test
45,E2-Red/Green,val
46,EBFP1.2,train
47,EBFP1.5,val
48,EBFP2,train
49,ECFP,train
50,ECGFP,train
51,eCGP123,train
52,EGFP,train
53,eqFP611,train
54,eqFP650,test
55,eqFP670,test
56,EYFP,train
57,EYFP-Q69K,train
58,eYGFP,train
59,eYGFPuv,train
60,eYGPdp,train
61,ffDronpa,train
62,FOLD6,train
63,FusionRed,test
64,FusionRed-MQV,train
65,Gamillus,train
66,Gamillus0.1,train
67,Gamillus0.2,train
68,Gamillus0.3,train
69,Gamillus0.4,train
70,GdT,test
71,GGvT,val
72,h2-3,train
73,hmKeima8.5,train
74,htFuncLib_acid.1,train
75,htFuncLib_acid.2,test
76,htFuncLib_acid.3,train
77,htFuncLib_acid.4,train
78,htFuncLib_acid.5,train
79,htFuncLib_acid.6,train
80,htFuncLib_basic.1,train
81,htFuncLib_basic.2,train
82,htFuncLib_basic.3,train
83,htFuncLib_basic.4,val
84,htFuncLib_basic.6,val
85,htFuncLib_bleach.1,train
86,htFuncLib_bleach.2,train
87,htFuncLib_bleach.3,train
88,htFuncLib_bleach.4,train
89,htFuncLib_bleach.5,train
90,htFuncLib_bleach.6,train
91,htFuncLib_em-blue-shift.1,train
92,htFuncLib_em-blue-shift.2,val
93,htFuncLib_fast.1,test
94,htFuncLib_fast.2,train
95,htFuncLib_fast.3,train
96,htFuncLib_fast.4,train
97,htFuncLib_mid.10,train
98,htFuncLib_mid.11,test
99,htFuncLib_mid.12,train
100,htFuncLib_mid.13,train
101,htFuncLib_mid.2,train
102,htFuncLib_mid.3,train
103,htFuncLib_mid.4,train
104,htFuncLib_mid.5,train
