index,slug,name,surrogate_role,oracle_role
0,htfunclib_fast2,htFuncLib_fast.2,val,train
1,cgp,CGP,train,val
2,dendra2,Dendra2,test,train
3,dendra2,Dendra2,train,train
4,minigfp1,miniGFP1,train,val
5,maroon01,Maroon0.1,test,train
6,plobrfp,plobRFP,train,train
7,mblueberry2,mBlueberry2,train,train
8,irfp720,iRFP720,train,train
9,mirfp670nano,miRFP670nano,train,train
10,electra2,Electra2,train,train
11,htfunclib_acid5,htFuncLib_acid.5,train,train
12,mirfp670,miRFP670,train,train
13,kcy-g4219,KCY-G4219,train,val
14,mscarlet3-h,mScarlet3-H,train,train
15,super-tagrfp,super-TagRFP,val,train
16,mstrawberry,mStrawberry,train,train
17,pross-egfp,PROSS-eGFP,train,train
18,eygfpuv,eYGFPuv,test,train
19,turbogfp,TurboGFP,test,train
20,mrhubarb719,mRhubarb719,train,train
21,phmscarlet,pHmScarlet,train,train
22,dsred-express2,DsRed-Express2,train,val
23,cyofp1,CyOFP1,train,train
24,katushka,Katushka,train,train
25,dsfp483,dsFP483,train,val
26,kohinoor,Kohinoor,train,train
27,htfunclib_acid4,htFuncLib_acid.4,test,train
28,htfunclib_sfbleach1,htFuncLib_sf:bleach.1,train,val
29,mifp,mIFP,train,test
30,rcamp,RCaMP,train,train
31,rsegfp,rsEGFP,val,train
32,mlychee,mLychee,val,train
33,tagrfp675,TagRFP675,train,train
34,lssmorange,LSSmOrange,train,train
35,mscarlet-2a,mScarlet-2A,train,test
36,mscarlet-i3,mScarlet-I3,val,train
37,philov3,phiLOV3,train,train
38,ifp14,iFP1.4,val,train
39,mgreenlantern,mGreenLantern,test,train
40,gfpmut3,GFPmut3,train,train
41,amcyan1,amCyan1,test,train
42,spoon,SPOON,train,val
43,cypet,CyPet,train,test
44,htfunclib_basic6,htFuncLib_basic.6,val,train
45,rsfusionred1,rsFusionRed1,train,test
46,mgold,mGold,val,train
47,htfunclib_sffast3,htFuncLib_sf:fast.3,train,test
48,mrouge,mRouge,train,train
49,htfunclib_sfacid5,htFuncLib_sf:acid.5,train,val
50,mchartreuse,mChartreuse,train,train
51,mkalama1,mKalama1,train,train
52,meosem,mEosEM,val,train
53,meosem,mEosEM,train,val
54,mneptune25,mNeptune2.5,test,train
55,katushka2s,Katushka2S,val,train
56,tdimer212,tdimer2(12),train,train
57,mrojob,mRojoB,train,train
58,mirfp2,miRFP2,train,train
59,htfunclib_thermo6,htFuncLib_thermo.6,train,train
60,htfunclib_mid2,htFuncLib_mid.2,train,train
61,mirfp,miRFP,train,train
62,mruby2,mRuby2,train,train
63,htfunclib_acid2,htFuncLib_acid.2,test,train
64,htfunclib_slow2,htFuncLib_slow.2,train,val
65,mgarnet2,mGarnet2,train,val
66,mgrape3,mGrape3,train,val
67,htfunclib_fast3,htFuncLib_fast.3,train,test
68,irfp670,iRFP670,train,val
69,taggfp,TagGFP,train,train
70,skylan-ns,Skylan-NS,train,val
71,dreiklang,Dreiklang,test,train
72,bdfp18,BDFP1.8,train,train
73,turbofp602,TurboFP602,train,val
74,unag,UnaG,train,train
75,mcherry_i202y,mCherry_I202Y,val,train
76,topaz,Topaz,train,train
77,mapple,mApple,val,train
78,anm2cp,anm2CP,train,train
79,hmgfp,hmGFP,train,val
80,citrine2,Citrine2,train,val
81,tagcfp,TagCFP,train,train
82,mkeima,mKeima,train,val
83,aausfp4,AausFP4,test,train
84,aausfp4,AausFP4,val,train
85,mkate,mKate,val,train
86,emirfp670,emiRFP670,train,val
87,mvenus,mVenus,train,val
88,htfunclib_sfacid3,htFuncLib_sf:acid.3,test,train
89,htfunclib_thermo3,htFuncLib_thermo.3,val,train
90,creilov,CreiLOV,test,train
91,aausfp1,AausFP1,train,val
92,sandercyanin,Sandercyanin,train,val
93,shadowg,ShadowG,val,train
94,egfp,EGFP,train,train
95,siriusgfp,SiriusGFP,train,test
96,turborfp,TurboRFP,train,train
97,sapphire,Sapphire,train,test
98,mirfp670-2,miRFP670-2,val,train
99,killerred,KillerRed,test,train
100,acgfp1,AcGFP1,train,val
101,htfunclib_sfacid4,htFuncLib_sf:acid.4,train,train
102,htfunclib_photostable2,htFuncLib_photostable.2,train,test
103,rsfastlime,rsFastLime,train,train
104,mscarlet3-s2,mScarlet3-S2,train,train
105,lssmcherry1,LSSmCherry1,train,test
106,cfp,CFP,train,test
107,killerorange,KillerOrange,train,train
108,venus,Venus,train,test
109,htfunclib_acid1,htFuncLib_acid.1,test,train
110,oxgfp,oxGFP,train,test
111,darkvenus,DarkVenus,test,train
112,htfunclib_mid4,htFuncLib_mid.4,train,test
113,p4,P4,train,val
114,mcherry-xl,mCherry-XL,train,train
115,mcyrfp1,mCyRFP1,train,train
116,mstaygold,mStayGold,train,test
117,dsred,DsRed,train,val
118,eqfp670,eqFP670,train,train
119,mkikgr,mKikGR,val,train
120,mkikgr,mKikGR,train,train
121,irfp702,iRFP702,train,train
122,dsred-max,DsRed-Max,train,train
123,ps-cfp2,PS-CFP2,train,val
124,ps-cfp2,PS-CFP2,val,train
125,tripartitegfp,TripartiteGFP,train,train
126,secbfp2,secBFP2,val,train
