name,cohort,pdb,seq_id,scaf_err,best_round,best_err,d_err,ppl0,ppl,id_scaf
Azurite-AvicFP1,knownstruct_Strain_Otrain,5N9O,0.781,80.82,1,4.25,-76.57,16.74,16.28,0.92
eqFP611-mRubyFT,knownstruct_Strain_Otrain,1UIS,0.817,161.21,2,98.0,-63.21000000000001,17.8,17.24,0.909
lanRFP-ΔS83l-LanYFP,knownstruct_Strain_Otrain,4JEO,0.741,43.27,1,4.71,-38.56,15.61,14.16,0.913
mNeptune681-Crimson,knownstruct_Strain_Otrain,5YT1,0.824,35.86,1,9.0,-26.86,17.52,16.18,0.918
eqFP650-FusionRed-M,knownstruct_Strain_Otrain,4EDO,0.808,32.09,3,11.04,-21.050000000000004,16.86,15.44,0.91
Rtms5-Montipora sp. #20-9115,knownstruct_Strain_Otrain,3VIC,0.896,23.19,3,5.49,-17.700000000000003,17.01,16.18,0.891
NijiFP-CGP,knownstruct_Strain_Otrain,2VZX,0.761,15.58,3,3.53,-12.05,16.1,15.02,0.896
ppluGFP2-pdae1GFP,knownstruct_Strain_Otrain,2G3O,0.757,8.34,2,1.33,-7.01,16.21,15.82,0.928
bfloGFPc1-LanYFP,knownstruct_Strain_Otrain,4DKM,0.728,7.43,2,0.77,-6.66,14.71,14.67,0.912
moxNeonGreen-laGFP,knownstruct_Strain_Otrain,5LTR,0.748,20.51,2,14.17,-6.340000000000002,14.72,14.74,0.924
amFP515-stylGFP,knownstruct_Strain_Otrain,2A47,0.773,8.36,2,3.99,-4.369999999999999,15.22,14.68,0.895
mKO-KO,knownstruct_Strain_Otrain,2ZMU,0.894,5.58,1,1.97,-3.6100000000000003,15.21,14.28,0.885
mRtms5-Montipora sp. #20-9115,knownstruct_Strain_Otrain,3VIC,0.883,19.25,1,17.89,-1.3599999999999994,17.24,16.07,0.9
Gamillus-dfGFP,knownstruct_Strain_Otrain,5Y00,0.87,1.63,1,1.71,0.08000000000000007,16.31,15.72,0.925
htFuncLib_thermo.1-OFPxm,knownstruct_Strain_Otrain,6XU4,0.79,1.11,1,1.39,0.2799999999999998,15.75,15.32,0.96
mBaoJin-mStayGold2,knownstruct_Strain_Otrain,8Q79,0.876,0.91,3,2.0,1.0899999999999999,16.34,15.47,0.906
mBaoJin-T55S-mStayGold2,knownstruct_Strain_Otrain,8Q79,0.88,1.08,2,2.57,1.4899999999999998,16.3,15.65,0.915
mScarlet-I3-mRFP1_Magenta,knownstruct_Strain_Otrain,9VUS,0.799,23.69,3,26.82,3.129999999999999,14.86,14.8,0.961
HcRed7-mGinger1,knownstruct_Strain_Otrain,6DEJ,0.851,11.25,3,73.75,62.5,16.99,15.63,0.907
HcRed-mGinger1,knownstruct_Strain_Otrain,1YZW,0.842,10.65,1,114.92,104.27,16.92,16.52,0.903
