slug	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
aausfp1	-4.469434798863292	-0.43719907548648684	-2.11821461826996	-1.2902433816887056	-1.6182123995178164	-1.163221218359097	0.4196050153058916	-3.247564338768847	-0.9754947994042101	-1.6499176211451905
aausfp4	-7.393235113899451	-2.435200456532844	-1.8010470743941311	-2.067423577954629	-0.2963543460978982	0.8988846366241318	-1.9861055423904586	0.8678560522204094	0.8199831987924842	1.412538909776132
aausgfp	-6.496422957852241	-0.41864592968625297	-2.7717681046597633	-0.3583679353241876	-2.4795231188357745	-0.07010068490392227	1.0306151164013357	-0.6389025583081903	1.8121896839958298	-0.4240951285247824
acgfp1	-6.102459392836976	0.7509112795857802	-2.8578173887008185	0.5563639105791894	-3.052636669057019	-0.3855170375040495	1.939413510856457	-1.115274275653357	1.5910217410774574	-0.8981748480969309
adred	11.430872693461522	-3.676196004289276	6.871033947772333	2.90657539085753	-4.315941899115859	1.5944884512224384	-1.3491951830646027	-0.08616750833761154	0.16237741262602698	0.1393136798142626
adred-c148s	9.560055316222714	-5.7060177241830425	8.728267681455716	1.8253264298419714	-1.005895338084544	0.6060651235991501	-0.5262771177506183	1.2802550539250863	1.0590813627186677	-0.2896405587253354
alphagfp	-6.5593774418529	-0.6275425866108296	-2.674953977603594	-0.8903282637792654	-1.9980515953460234	-0.16339108434971078	0.16492299109118613	-1.1980271631312052	0.7655294581919253	-0.25908380761086197
amcyan1	-6.847231608627589	2.9174893012236334	-2.5629848822542813	5.117045056145987	-2.6563246499172286	0.7372291633179113	4.3004606566637555	3.332164326021216	0.882190658907775	-0.29111297530907115
amfp486	-8.44060709591722	1.8198810860412016	-2.3870113737413554	4.573966782900631	-1.8839041567214236	1.6036310218903085	3.0753944112768785	5.086996530462657	1.4360690848262918	1.03415844886052
amilgfp	-5.113330831100291	-0.8204866996072374	-2.0970270063104315	-1.4205937728207094	-1.4850166127141273	-0.8124845066237907	0.02236688850766402	-2.513319367066325	-0.5791541568177948	-0.9777863352067261
anm2cp	5.17311378396206	-3.528133455112154	6.1577854514302	1.915471073955056	-2.1172070931187466	-2.549020164490354	2.7647912746796126	-2.62654107338441	-1.3095794160039929	0.8972086757258103
aq14	16.248710969678328	5.110240526689541	-6.613332498548172	-0.4224738202867285	-1.1487369855017096	3.14743883283082	-3.211099376548782	1.4448736049493498	0.6304160687951748	-1.8254122030843187
aq143	17.72942071406056	5.655531064869239	-7.429569808444301	-0.668148517395658	-0.5420101929662204	2.8223328753707304	-2.774078953088441	1.8649632190806416	0.8303944465706086	0.08401881443208083
aquamarine	-7.2235472671766034	4.843561981489926	-1.3278658322616264	8.261019835369865	-0.566268747327083	1.1556659476016622	4.078184204156377	5.014431812876448	-2.666984963595432	-0.5073018271727403
asred2	3.4013210215867047	-3.338306505760907	5.591070812537356	1.396181990057132	-1.1144644945905942	-3.388568512044573	3.582483201578465	-3.048910933254649	-1.6318689547138383	0.5767168743625779
asulcp	5.466377891781221	-5.494505097267935	8.426111718093303	1.4360844156605335	0.19462873440520922	-2.528209603244892	2.7515376566576046	-0.7556157532000349	0.18807627279490902	-0.24452299113733278
avgfp	-5.657373525634633	-0.4291662918701355	-2.3353741431531434	-0.7133169443919003	-1.8273527492450106	-0.5731688647293228	0.6726140401603904	-1.7580923647690323	0.3342538881227566	-1.0675992834721597
avicfp1	-6.126751968500986	-0.42241309596074283	-2.6899067888071144	-0.5481317162113988	-2.4209403441293436	-0.2966202849491356	0.9823534515948342	-1.1915224438266214	1.4723781751561729	-0.7199875201690218
avicfp2	-6.3414180860239275	-1.6928550625036831	-2.1140221021905354	-2.206349494555728	-0.7631268902081203	-0.12270914912108709	-1.3245056885415614	-1.3684079579484276	-0.32626890903986994	0.2696128802928903
avicfp4	-5.2656023189560734	-0.8614752478625857	-2.2690516642213545	-1.6397746022339188	-1.4500701928436879	-0.6991114497036293	-0.30683297041355523	-2.5397896984503805	-0.648663076344032	-0.873630898694599
azaleab5	6.803507521611155	-3.292933249401875	5.726501094209176	1.6936397549766693	-1.5599787576888953	-2.04911241064355	2.2727539414156555	-1.7045340068713446	-0.6648041523324504	0.6151967630119699
azamigreen	-5.151150271058649	0.37412246303311253	-2.885880997168027	-0.13168393314598267	-3.096753496477626	-0.9721552475031382	1.80621827444919	-2.632140897684427	0.7504865942921305	-1.6383591785997973
azamired10	11.485562076900518	-2.562988612575731	4.982647640037596	2.0014589980851247	-2.2718180258609375	-0.4453151020526605	0.800656032613953	-0.28866244406090397	0.07994521292336508	2.161332450564805
bdfp16	10.001443087509385	4.06832388635487	-5.381987413907799	-0.4480947711651419	-1.4632321604304743	2.4229260986526535	-2.7456655292675505	-0.4058882011938983	-0.46865294710932615	-5.317818649615029
bdfp18	11.616871044665135	7.149242240218487	-10.861579945748709	-3.3274021267179013	5.097180260316587	-2.2489317652910996	2.19832121046764	0.38894687416586515	0.2183729462769607	-1.010261296003704
bdfp20	11.346489828406453	3.679945359858133	-4.609475921186638	-0.05973690483277497	-1.9251176662494085	2.549339072085507	-2.7555886325969805	-0.18110170699657813	-0.3674588393535253	-4.009843358160117
br1	-9.804301920091595	-2.357993684360062	-1.9058196399978777	-0.6534612160016036	0.40140609561669427	2.0630831850464886	-0.8763590246874494	4.986718082384812	3.258599740150695	2.1842232982345307
bruslee	-6.60459606048172	-0.35214260188063184	-2.820944921660016	-0.45706370013687914	-2.246600674228669	-0.11735213809974283	0.7542761673960946	-0.8376708784803155	1.2078389545698345	-0.4787650535605283
cagfbfp	-8.988776252480692	-2.6024181873814354	-1.5230643747045078	-0.5902469476080723	-0.0720426795096122	2.1967239648461683	-1.1776661481782087	4.727162077357317	3.1838427714923663	2.622354794641625
car-geco1	11.324212994847985	-2.5702676806210194	4.886603495931952	2.002832802345098	-2.673939871537826	0.4945394258282932	-0.2415485902301861	-0.08411184139193978	-0.03809201826547377	1.8011157387079781
ccalofp1	-2.027443623420756	-4.798123795122989	3.710149325727993	-2.8462057690064864	5.89312048809779	-0.24381361552999206	-0.8299868404546583	1.5401011397967164	0.005935885646618194	-4.022340670606874
ccalrfp2	-2.4662787315540142	-6.417161368149295	4.223590491606524	-2.4220453828622612	2.2620813662101265	0.025053405472558743	-1.9847528066912192	1.5795971804214295	1.250163619026728	1.0394637196744534
ccgfp-e6	-7.062543576485602	-1.87180999396745	-2.6811038439001162	-3.155757901028633	-0.19270930121846008	0.3227479074707877	-2.8828860674457073	-1.3952750886084262	-1.3088468108627844	0.9669210875997397
