index,name,surrogate_role,oracle_role
0,10B,train,test
1,11,train,val
2,(3-F)Tyr-EGFP,test,train
3,5B,train,train
4,A44-KR,train,train
5,aacuGFP1,test,train
6,aacuGFP2,train,train
7,AausFP1,train,train
8,AausFP4,test,train
9,AausGFP,train,test
10,aceGFP,train,test
11,aceGFP-G222E-Y220L,train,train
12,aceGFP-h,test,train
13,AcGFP1,test,train
14,Achilles,train,train
15,AdRed,val,train
16,AdRed-C148S,train,train
17,aeurGFP,train,train
18,afCFP,val,train
19,afraGFP,test,train
20,alajGFP1,val,train
21,alajGFP2,train,train
22,alajGFP3,train,test
23,amCyan1,test,train
24,amFP486,train,val
25,amFP495,test,train
26,amFP506,test,train
27,amFP515,train,train
28,amilFP484,test,train
29,amilFP490,train,train
30,amilFP497,train,val
31,amilFP504,train,test
32,amilFP512,train,val
33,amilFP513,train,val
34,amilFP593,train,train
35,amilFP597,val,train
36,amilGFP,test,train
37,anm1GFP1,train,val
38,anm1GFP2,train,train
39,anm2CP,train,test
40,anobCFP1,train,train
41,anobCFP2,val,train
42,anobGFP,train,train
43,apulFP483,train,train
44,AQ14,train,train
45,AQ143,test,train
46,Aquamarine,train,val
47,asCP562,train,val
48,asFP499,train,train
49,AsRed2,train,train
50,asulCP,train,test
51,atenFP,train,train
52,avGFP,test,train
53,avGFP454,train,val
54,avGFP480,test,train
55,AvicFP1,val,train
56,AvicFP2,val,train
57,AvicFP3,test,train
58,AvicFP4,train,train
59,AzaleaB5,val,train
60,AzamiGreen,train,test
61,AzamiRed1.0,train,train
62,Azurite,train,train
63,BDFP2.0,train,train
64,bfloGFPa1,test,train
65,bfloGFPc1,train,test
66,BFP,train,train
67,BFP5,train,val
68,BFP.A5,train,test
69,Blue102,val,train
70,Bluebonnet2,test,train
71,BrUSLEE,train,test
72,bsDronpa,val,train
73,ccalGFP1,train,train
74,ccalGFP3,train,train
75,ccalOFP1,test,train
76,ccalRFP1,train,val
77,ccalYFP1,train,train
78,ccGFP E6,val,train
79,cEGFP,train,train
80,cerFP505,val,train
81,Cerulean,val,train
82,CFP,test,train
83,cFP484,train,val
84,cfSGFP2,train,train
85,cgfmKate2,test,train
86,CGFP,val,train
87,cgfTagRFP,train,train
88,CGP,train,train
89,CheGFP1,train,test
90,CheGFP2,test,train
91,Citrine,train,train
92,Citrine2,train,test
93,cjBlue,val,train
94,cjFP510,train,train
95,Clomeleon,test,train
96,Clover,train,test
97,cpCitrine,train,train
98,cp-mKate,train,train
99,CpYGFP,test,train
100,Crimson,val,train
101,CRISPRed2s,test,train
102,CU17S,val,train
103,CyOFP1,train,val
104,CyPet,test,train
105,CyRFP1,train,val
106,D10,test,train
107,d1EosFP,train,test
108,d2EosFP,train,val
109,DarkVenus,train,train
110,dCyOFP2s,val,train
111,dCyRFP2s,train,train
112,deGFP1,val,train
113,deGFP2,test,train
114,deGFP3,train,train
115,deGFP4,train,val
116,dendFP,train,test
117,Dendra,train,train
118,Dendra2,test,train
119,Dendra2-M159A,train,train
120,Dendra2-T69A,val,train
121,dfGFP,val,train
122,dimer1,val,train
123,dimer2,train,test
124,DimVenus,val,train
125,Diogenes,train,train
126,dis2RFP,train,test
127,dis3GFP,train,train
128,dKeima,train,test
129,dKeima570,train,test
130,dLanYFP,train,test
131,Dreiklang,train,train
132,d-RFP618,train,train
133,Dronpa,train,train
134,Dronpa-2,train,train
135,Dronpa-3,train,train
136,dsFP483,train,val
137,DspR1,val,train
138,DsRed,train,train
139,DsRed2,train,val
140,DsRed-Express,train,train
141,DsRed-Express2,train,test
142,DsRed.M1,val,train
143,DsRed-Max,train,test
144,DsRed-NF,test,train
145,DsRed.T3,train,train
146,DsRed.T4,train,train
147,DstC1,val,train
148,dTFP0.1,train,val
149,dTFP0.2,test,train
150,dTomato,train,val
151,dVFP,train,train
152,E2-Crimson,train,test
153,E2-Orange,train,train
154,E2-Red/Green,train,test
155,EaGFP,train,test
156,EBFP,train,test
157,EBFP1.2,train,val
158,EBFP1.5,train,train
159,EBFP2,train,train
160,ECFP,train,train
161,ECFP H148D,train,train
162,ECGFP,val,train
163,eCGP123,test,train
164,eechGFP1,test,train
165,eechGFP2,val,train
