index,name,cluster_id,cluster_size
0,10B,0,254
1,11,0,254
2,(3-F)Tyr-EGFP,0,254
3,5B,0,254
4,A44-KR,11,9
5,aacuGFP1,44,1
6,aacuGFP2,6,16
7,AausFP1,45,1
8,AausFP4,46,1
9,AausGFP,47,1
10,aceGFP,0,254
11,aceGFP-G222E-Y220L,0,254
12,aceGFP-h,0,254
13,AcGFP1,0,254
14,Achilles,0,254
15,AdRed,15,6
16,AdRed-C148S,15,6
17,aeurGFP,6,16
18,afCFP,3,37
19,afraGFP,48,1
20,alajGFP1,32,2
21,alajGFP2,32,2
22,alajGFP3,49,1
23,amCyan1,21,5
24,amFP486,21,5
25,amFP495,21,5
26,amFP506,21,5
27,amFP515,21,5
28,amilFP484,6,16
29,amilFP490,6,16
30,amilFP497,6,16
31,amilFP504,6,16
32,amilFP512,6,16
33,amilFP513,6,16
34,amilFP593,15,6
35,amilFP597,15,6
36,amilGFP,6,16
37,anm1GFP1,50,1
38,anm1GFP2,51,1
39,anm2CP,11,9
40,anobCFP1,6,16
41,anobCFP2,6,16
42,anobGFP,6,16
43,apulFP483,6,16
44,AQ14,33,2
45,AQ143,33,2
46,Aquamarine,0,254
47,asCP562,22,5
48,asFP499,52,1
49,AsRed2,22,5
50,asulCP,22,5
51,atenFP,6,16
52,avGFP,0,254
53,avGFP454,0,254
54,avGFP480,0,254
55,AvicFP1,34,2
56,AvicFP2,35,2
57,AvicFP3,35,2
58,AvicFP4,53,1
59,AzaleaB5,54,1
60,AzamiGreen,3,37
61,AzamiRed1.0,3,37
62,Azurite,0,254
63,BDFP2.0,1,99
64,bfloGFPa1,36,2
65,bfloGFPc1,55,1
66,BFP,0,254
67,BFP5,0,254
68,BFP.A5,0,254
69,Blue102,1,99
70,Bluebonnet2,2,62
71,BrUSLEE,0,254
72,bsDronpa,3,37
73,ccalGFP1,23,5
74,ccalGFP3,23,5
75,ccalOFP1,23,5
76,ccalRFP1,23,5
77,ccalYFP1,56,1
78,ccGFP E6,23,5
79,cEGFP,0,254
80,cerFP505,57,1
81,Cerulean,0,254
82,CFP,0,254
83,cFP484,9,12
84,cfSGFP2,0,254
85,cgfmKate2,2,62
86,CGFP,0,254
87,cgfTagRFP,2,62
88,CGP,3,37
89,CheGFP1,58,1
90,CheGFP2,59,1
91,Citrine,0,254
92,Citrine2,0,254
93,cjBlue,60,1
94,cjFP510,61,1
95,Clomeleon,0,254
96,Clover,0,254
97,cpCitrine,0,254
98,cp-mKate,62,1
99,CpYGFP,16,6
100,Crimson,2,62
101,CRISPRed2s,5,20
102,CU17S,7,16
103,CyOFP1,2,62
104,CyPet,0,254
105,CyRFP1,2,62
106,D10,0,254
107,d1EosFP,4,30
108,d2EosFP,4,30
109,DarkVenus,0,254
110,dCyOFP2s,2,62
111,dCyRFP2s,2,62
112,deGFP1,0,254
113,deGFP2,0,254
114,deGFP3,0,254
115,deGFP4,0,254
116,dendFP,13,7
117,Dendra,13,7
118,Dendra2,13,7
119,Dendra2-M159A,13,7
120,Dendra2-T69A,13,7
121,dfGFP,17,6
122,dimer1,1,99
123,dimer2,1,99
124,DimVenus,0,254
125,Diogenes,2,62
126,dis2RFP,1,99
127,dis3GFP,63,1
128,dKeima,12,8
129,dKeima570,12,8
130,dLanYFP,18,6
131,Dreiklang,0,254
132,d-RFP618,5,20
133,Dronpa,3,37
134,Dronpa-2,3,37
135,Dronpa-3,3,37
136,dsFP483,64,1
137,DspR1,1,99
138,DsRed,1,99
139,DsRed2,1,99
140,DsRed-Express,1,99
141,DsRed-Express2,1,99
142,DsRed.M1,65,1
143,DsRed-Max,1,99
144,DsRed-NF,1,99
145,DsRed.T3,1,99
146,DsRed.T4,1,99
147,DstC1,1,99
148,dTFP0.1,9,12
149,dTFP0.2,9,12
150,dTomato,1,99
151,dVFP,26,4
152,E2-Crimson,1,99
153,E2-Orange,1,99
154,E2-Red/Green,1,99
155,EaGFP,66,1
156,EBFP,0,254
157,EBFP1.2,0,254
158,EBFP1.5,0,254
159,EBFP2,0,254
160,ECFP,0,254
161,ECFP H148D,0,254
162,ECGFP,0,254
163,eCGP123,3,37
164,eechGFP1,67,1
165,eechGFP2,3,37
166,eechGFP3,68,1
167,eechRFP,37,2
168,efasCFP,69,1
169,efasGFP,70,1
170,eforCP,71,1
171,EGFP,0,254
172,eGFP203C,0,254
173,eGFP205C,0,254
174,Electra1,5,20
175,Electra2,5,20
176,Emerald,0,254
177,Enhanced Cyan-Emitting GFP,0,254
178,EosFP,4,30
179,eqFP578,2,62
180,eqFP611,5,20
181,eqFP611 V124T,5,20
182,eqFP650,2,62
183,eqFP670,2,62
184,EYFP,0,254
185,EYFP-Q69K,0,254
186,eYGFP,16,6
187,eYGFPuv,16,6
188,eYGPdp,16,6
189,fabdGFP,3,37
190,ffDronpa,3,37
191,FOLD6,0,254
192,Folding Reporter GFP,0,254
193,FP586,1,99
194,FR-1,2,62
195,Free Use GFP,72,1
196,frSkylan-S,4,30
197,FusionRed,2,62
198,FusionRed-M,2,62
199,FusionRed-MQV,2,62
200,fwYellow,27,4
201,G1,9,12
202,G2,9,12
203,G3,9,12
204,G3GFP,0,254
205,Gamillus,17,6
206,Gamillus0.1,17,6
207,Gamillus0.2,17,6
208,Gamillus0.3,17,6
209,Gamillus0.4,17,6
210,GCaMP2,0,254
211,GdT,1,99
212,gfasGFP,3,37
213,GFP-151pyTyrCu,0,254
214,GFP(E222G),0,254
215,GFPmut2,0,254
216,GFPmut3,0,254
217,GFP (S65T),0,254
218,GFP-Tyr151pyz,0,254
219,GFPxm16,8,15
220,GFPxm161,8,15
221,GFPxm162,8,15
222,GFPxm163,8,15
223,GFPxm18,8,15
224,GFPxm181uv,8,15
225,GFPxm18uv,8,15
226,GFPxm19,8,15
227,GFPxm191uv,8,15
228,GFPxm19uv,8,15
229,GGvT,1,99
230,h2-3,73,1
231,H9,0,254
232,HcRed,10,10
233,HcRed1-Blue,10,10
234,HcRed7,10,10
235,HcRed-Tandem,10,10
236,hcriGFP,74,1
237,hmGFP,75,1
238,hmKeima8.5,12,8
239,HriCFP,38,2
240,HriGFP,38,2
241,htFuncLib_acid.1,0,254
242,htFuncLib_acid.2,0,254
243,htFuncLib_acid.3,0,254
244,htFuncLib_acid.4,0,254
245,htFuncLib_acid.5,0,254
246,htFuncLib_acid.6,0,254
247,htFuncLib_basic.1,0,254
248,htFuncLib_basic.2,0,254
249,htFuncLib_basic.3,0,254
250,htFuncLib_basic.4,0,254
251,htFuncLib_basic.6,0,254
252,htFuncLib_bleach.1,0,254
253,htFuncLib_bleach.2,0,254
254,htFuncLib_bleach.3,0,254
255,htFuncLib_bleach.4,0,254
256,htFuncLib_bleach.5,0,254
257,htFuncLib_bleach.6,0,254
258,htFuncLib_em-blue-shift.1,0,254
259,htFuncLib_em-blue-shift.2,0,254
260,htFuncLib_fast.1,0,254
261,htFuncLib_fast.2,0,254
262,htFuncLib_fast.3,0,254
263,htFuncLib_fast.4,0,254
264,htFuncLib_mid.10,0,254
265,htFuncLib_mid.11,0,254
266,htFuncLib_mid.12,0,254
267,htFuncLib_mid.13,0,254
268,htFuncLib_mid.2,0,254
269,htFuncLib_mid.3,0,254
270,htFuncLib_mid.4,0,254
