index,name,surrogate_role,oracle_role
0,10B,train,train
1,11,train,train
2,(3-F)Tyr-EGFP,train,train
3,5B,train,train
4,A44-KR,train,val
5,aacuGFP1,val,train
6,aacuGFP2,val,train
7,AausFP1,train,test
8,AausFP4,train,test
9,AausGFP,train,train
10,aceGFP,train,train
11,aceGFP-G222E-Y220L,train,train
12,aceGFP-h,train,train
13,AcGFP1,train,train
14,Achilles,train,train
15,AdRed,train,val
16,AdRed-C148S,train,val
17,aeurGFP,val,train
18,afCFP,test,train
19,afraGFP,train,val
20,alajGFP1,train,test
21,alajGFP2,train,test
22,alajGFP3,train,test
23,amCyan1,train,val
24,amFP486,train,val
25,amFP495,train,val
26,amFP506,train,val
27,amFP515,train,val
28,amilFP484,val,train
29,amilFP490,val,train
30,amilFP497,val,train
31,amilFP504,val,train
32,amilFP512,val,train
33,amilFP513,val,train
34,amilFP593,train,val
35,amilFP597,train,val
36,amilGFP,val,train
37,anm1GFP1,train,val
38,anm1GFP2,train,test
39,anm2CP,train,val
40,anobCFP1,val,train
41,anobCFP2,val,train
42,anobGFP,val,train
43,apulFP483,val,train
44,AQ14,train,val
45,AQ143,train,val
46,Aquamarine,train,train
47,asCP562,train,test
48,asFP499,train,val
49,AsRed2,train,test
50,asulCP,train,test
51,atenFP,val,train
52,avGFP,train,train
53,avGFP454,train,train
54,avGFP480,train,train
55,AvicFP1,train,train
56,AvicFP2,train,test
57,AvicFP3,train,test
58,AvicFP4,train,test
59,AzaleaB5,train,test
60,AzamiGreen,test,train
61,AzamiRed1.0,test,train
62,Azurite,train,train
63,BDFP2.0,val,train
64,bfloGFPa1,train,val
65,bfloGFPc1,train,test
66,BFP,train,train
67,BFP5,train,train
68,BFP.A5,train,train
69,Blue102,val,train
70,Bluebonnet2,train,test
71,BrUSLEE,train,train
72,bsDronpa,test,train
73,ccalGFP1,train,val
74,ccalGFP3,train,val
75,ccalOFP1,train,val
76,ccalRFP1,train,val
77,ccalYFP1,train,val
78,ccGFP E6,train,val
79,cEGFP,train,train
80,cerFP505,train,test
81,Cerulean,train,train
82,CFP,train,train
83,cFP484,test,train
84,cfSGFP2,train,train
85,cgfmKate2,train,test
86,CGFP,train,train
87,cgfTagRFP,train,test
88,CGP,test,train
89,CheGFP1,train,val
90,CheGFP2,train,test
91,Citrine,train,train
92,Citrine2,train,train
93,cjBlue,train,val
94,cjFP510,train,test
95,Clomeleon,train,train
96,Clover,train,train
97,cpCitrine,train,train
98,cp-mKate,train,test
99,CpYGFP,train,val
100,Crimson,train,test
101,CRISPRed2s,train,test
102,CU17S,test,train
103,CyOFP1,train,test
104,CyPet,train,train
105,CyRFP1,train,test
106,D10,train,train
107,d1EosFP,test,train
108,d2EosFP,test,train
109,DarkVenus,train,train
110,dCyOFP2s,train,test
111,dCyRFP2s,train,test
112,deGFP1,train,train
113,deGFP2,train,train
114,deGFP3,train,train
115,deGFP4,train,train
116,dendFP,test,train
117,Dendra,test,train
118,Dendra2,test,train
119,Dendra2-M159A,test,train
120,Dendra2-T69A,test,train
121,dfGFP,train,val
122,dimer1,val,train
123,dimer2,val,train
124,DimVenus,train,train
125,Diogenes,train,test
126,dis2RFP,val,train
127,dis3GFP,train,val
128,dKeima,train,val
129,dKeima570,train,val
130,dLanYFP,train,val
131,Dreiklang,train,train
132,d-RFP618,train,test
133,Dronpa,test,train
134,Dronpa-2,test,train
135,Dronpa-3,test,train
136,dsFP483,train,val
137,DspR1,val,train
138,DsRed,val,train
139,DsRed2,val,train
140,DsRed-Express,val,train
141,DsRed-Express2,val,train
142,DsRed.M1,val,train
143,DsRed-Max,val,train
144,DsRed-NF,val,train
145,DsRed.T3,val,train
146,DsRed.T4,val,train
147,DstC1,val,train
148,dTFP0.1,test,train
149,dTFP0.2,test,train
150,dTomato,val,train
151,dVFP,test,train
152,E2-Crimson,val,train
153,E2-Orange,val,train
154,E2-Red/Green,val,train
155,EaGFP,test,train
156,EBFP,train,train
157,EBFP1.2,train,train
158,EBFP1.5,train,train
159,EBFP2,train,train
160,ECFP,train,train
161,ECFP H148D,train,train
162,ECGFP,train,train
163,eCGP123,test,train
164,eechGFP1,test,train
165,eechGFP2,test,train
166,eechGFP3,test,train
167,eechRFP,test,train
168,efasCFP,train,train
169,efasGFP,train,train
170,eforCP,train,train
171,EGFP,train,train
172,eGFP203C,train,train
173,eGFP205C,train,train
174,Electra1,train,test
175,Electra2,train,test
176,Emerald,train,train
177,Enhanced Cyan-Emitting GFP,train,train
178,EosFP,test,train
179,eqFP578,train,test
180,eqFP611,train,test
181,eqFP611 V124T,train,test
182,eqFP650,train,test
183,eqFP670,train,test
184,EYFP,train,train
185,EYFP-Q69K,train,train
186,eYGFP,train,val
187,eYGFPuv,train,val
188,eYGPdp,train,val
189,fabdGFP,test,train
190,ffDronpa,test,train
191,FOLD6,train,train
192,Folding Reporter GFP,train,train
193,FP586,val,train
194,FR-1,train,test
195,Free Use GFP,train,train
196,frSkylan-S,test,train
197,FusionRed,train,test
198,FusionRed-M,train,test
199,FusionRed-MQV,train,test
200,fwYellow,train,val
201,G1,test,train
202,G2,test,train
203,G3,test,train
204,G3GFP,train,train
205,Gamillus,train,val
206,Gamillus0.1,train,val
207,Gamillus0.2,train,val
208,Gamillus0.3,train,val
209,Gamillus0.4,train,val
210,GCaMP2,train,train
211,GdT,val,train
212,gfasGFP,test,train
213,GFP-151pyTyrCu,train,train
214,GFP(E222G),train,train
215,GFPmut2,train,train
216,GFPmut3,train,train
217,GFP (S65T),train,train
218,GFP-Tyr151pyz,train,train
219,GFPxm16,train,train
220,GFPxm161,train,train
221,GFPxm162,train,train
222,GFPxm163,train,train
223,GFPxm18,train,train
224,GFPxm181uv,train,train
