index,name,surrogate_role,oracle_role
0,10B,train,train
1,11,train,train
2,(3-F)Tyr-EGFP,train,train
3,5B,train,train
4,A44-KR,train,test
5,aacuGFP1,train,val
6,aacuGFP2,train,test
7,AausFP1,train,test
8,AausFP4,train,val
9,AausGFP,train,test
10,aceGFP,train,train
11,aceGFP-G222E-Y220L,train,train
12,aceGFP-h,train,train
13,AcGFP1,train,train
14,Achilles,train,train
15,AdRed,train,test
16,AdRed-C148S,train,test
17,aeurGFP,train,test
18,afCFP,val,train
19,afraGFP,train,val
20,alajGFP1,train,val
21,alajGFP2,train,val
22,alajGFP3,train,test
23,amCyan1,train,val
24,amFP486,train,val
25,amFP495,train,val
26,amFP506,train,val
27,amFP515,train,val
28,amilFP484,train,test
29,amilFP490,train,test
30,amilFP497,train,test
31,amilFP504,train,test
32,amilFP512,train,test
33,amilFP513,train,test
34,amilFP593,train,test
35,amilFP597,train,test
36,amilGFP,train,test
37,anm1GFP1,train,val
38,anm1GFP2,train,test
39,anm2CP,train,test
40,anobCFP1,train,test
41,anobCFP2,train,test
42,anobGFP,train,test
43,apulFP483,train,test
44,AQ14,train,test
45,AQ143,train,test
46,Aquamarine,train,train
47,asCP562,train,val
48,asFP499,train,val
49,AsRed2,train,val
50,asulCP,train,val
51,atenFP,train,test
52,avGFP,train,train
53,avGFP454,train,train
54,avGFP480,train,train
55,AvicFP1,train,val
56,AvicFP2,train,test
57,AvicFP3,train,test
58,AvicFP4,train,test
59,AzaleaB5,train,val
60,AzamiGreen,val,train
61,AzamiRed1.0,val,train
62,Azurite,train,train
63,BDFP2.0,test,train
64,bfloGFPa1,train,val
65,bfloGFPc1,train,test
66,BFP,train,train
67,BFP5,train,train
68,BFP.A5,train,train
69,Blue102,test,train
70,Bluebonnet2,val,train
71,BrUSLEE,train,train
72,bsDronpa,val,train
73,ccalGFP1,train,test
74,ccalGFP3,train,test
75,ccalOFP1,train,test
76,ccalRFP1,train,test
77,ccalYFP1,train,val
78,ccGFP E6,train,test
79,cEGFP,train,train
80,cerFP505,train,test
81,Cerulean,train,train
82,CFP,train,train
83,cFP484,train,val
84,cfSGFP2,train,train
85,cgfmKate2,val,train
86,CGFP,train,train
87,cgfTagRFP,val,train
88,CGP,val,train
89,CheGFP1,train,val
90,CheGFP2,train,test
91,Citrine,train,train
92,Citrine2,train,train
93,cjBlue,train,val
94,cjFP510,train,test
95,Clomeleon,train,train
96,Clover,train,train
97,cpCitrine,train,train
98,cp-mKate,train,val
99,CpYGFP,train,test
100,Crimson,val,train
101,CRISPRed2s,val,train
102,CU17S,train,val
103,CyOFP1,val,train
104,CyPet,train,train
105,CyRFP1,val,train
106,D10,train,train
107,d1EosFP,test,train
108,d2EosFP,test,train
109,DarkVenus,train,train
110,dCyOFP2s,val,train
111,dCyRFP2s,val,train
112,deGFP1,train,train
113,deGFP2,train,train
114,deGFP3,train,train
115,deGFP4,train,train
116,dendFP,train,test
117,Dendra,train,test
118,Dendra2,train,test
119,Dendra2-M159A,train,test
120,Dendra2-T69A,train,test
121,dfGFP,train,val
122,dimer1,test,train
123,dimer2,test,train
124,DimVenus,train,train
125,Diogenes,val,train
126,dis2RFP,test,train
127,dis3GFP,train,test
128,dKeima,train,val
129,dKeima570,train,val
130,dLanYFP,train,test
131,Dreiklang,train,train
132,d-RFP618,val,train
133,Dronpa,val,train
134,Dronpa-2,val,train
135,Dronpa-3,val,train
136,dsFP483,train,val
137,DspR1,test,train
138,DsRed,test,train
139,DsRed2,test,train
140,DsRed-Express,test,train
141,DsRed-Express2,test,train
142,DsRed.M1,train,train
143,DsRed-Max,test,train
144,DsRed-NF,test,train
145,DsRed.T3,test,train
146,DsRed.T4,test,train
147,DstC1,test,train
148,dTFP0.1,train,val
149,dTFP0.2,train,val
150,dTomato,test,train
151,dVFP,train,val
152,E2-Crimson,test,train
153,E2-Orange,test,train
154,E2-Red/Green,test,train
155,EaGFP,train,train
156,EBFP,train,train
157,EBFP1.2,train,train
158,EBFP1.5,train,train
159,EBFP2,train,train
160,ECFP,train,train
161,ECFP H148D,train,train
162,ECGFP,train,train
163,eCGP123,val,train
164,eechGFP1,train,train
165,eechGFP2,val,train
166,eechGFP3,train,train
167,eechRFP,train,test
168,efasCFP,train,train
169,efasGFP,train,train
170,eforCP,train,train
171,EGFP,train,train
172,eGFP203C,train,train
173,eGFP205C,train,train
174,Electra1,val,train
175,Electra2,val,train
176,Emerald,train,train
177,Enhanced Cyan-Emitting GFP,train,train
178,EosFP,test,train
179,eqFP578,val,train
180,eqFP611,val,train
181,eqFP611 V124T,val,train
182,eqFP650,val,train
183,eqFP670,val,train
184,EYFP,train,train
185,EYFP-Q69K,train,train
186,eYGFP,train,test
187,eYGFPuv,train,test
188,eYGPdp,train,test
189,fabdGFP,val,train
190,ffDronpa,val,train
191,FOLD6,train,train
192,Folding Reporter GFP,train,train
193,FP586,test,train
194,FR-1,val,train
195,Free Use GFP,train,train
196,frSkylan-S,test,train
197,FusionRed,val,train
198,FusionRed-M,val,train
199,FusionRed-MQV,val,train
200,fwYellow,train,test
201,G1,train,val
202,G2,train,val
203,G3,train,val
204,G3GFP,train,train
205,Gamillus,train,val
206,Gamillus0.1,train,val
207,Gamillus0.2,train,val
208,Gamillus0.3,train,val
209,Gamillus0.4,train,val
210,GCaMP2,train,train
211,GdT,test,train
212,gfasGFP,val,train
213,GFP-151pyTyrCu,train,train
214,GFP(E222G),train,train
215,GFPmut2,train,train
216,GFPmut3,train,train
217,GFP (S65T),train,train
218,GFP-Tyr151pyz,train,train
219,GFPxm16,train,test
220,GFPxm161,train,test
221,GFPxm162,train,test
222,GFPxm163,train,test
223,GFPxm18,train,test
224,GFPxm181uv,train,test
