scaffold_idx,scaffold_name,scaffold_SS,scaffold_surr_role,target_idx,target_name,target_SS,target_orac_role,identity,scaffold_pdb
65,bfloGFPc1,28,train,338,LanYFP,11,train,0.7281,4DKM
337,lanRFP-ΔS83l,71,train,338,LanYFP,11,train,0.7409,4JEO
486,moxNeonGreen,15,train,334,laGFP,9,train,0.7478,5LTR
602,ppluGFP2,20,train,588,pdae1GFP,20,train,0.7568,2G3O
555,NijiFP,38,train,88,CGP,11,train,0.7609,2VZX
27,amFP515,15,train,689,stylGFP,15,train,0.7729,2A47
62,Azurite,64,train,55,AvicFP1,22,train,0.7815,5N9O
301,htFuncLib_thermo.1,14,train,562,OFPxm,14,train,0.7903,6XU4
525,mScarlet-I3,24,train,500,mRFP1_Magenta,28,train,0.7991,9VUS
182,eqFP650,58,train,198,FusionRed-M,23,train,0.8077,4EDO
180,eqFP611,52,train,513,mRubyFT,49,train,0.8170,1UIS
475,mNeptune681,77,train,100,Crimson,29,train,0.8238,5YT1
232,HcRed,53,train,432,mGinger1,50,train,0.8416,1YZW
234,HcRed7,53,train,432,mGinger1,50,train,0.8507,6DEJ
205,Gamillus,15,train,121,dfGFP,19,train,0.8703,5Y00
359,mBaoJin,8,train,530,mStayGold2,10,train,0.8761,8Q79
360,mBaoJin-T55S,11,train,530,mStayGold2,10,train,0.8803,8Q79
509,mRtms5,45,train,478,Montipora sp. #20-9115,26,train,0.8829,3VIC
457,mKO,11,train,330,KO,13,train,0.8945,2ZMU
647,Rtms5,34,train,478,Montipora sp. #20-9115,26,train,0.8964,3VIC
