index,name,surrogate_role,oracle_role
0,10B,train,train
1,11,train,test
2,(3-F)Tyr-EGFP,test,train
3,5B,train,train
4,A44-KR,train,train
5,aacuGFP1,test,train
6,aacuGFP2,train,train
7,AausFP1,train,train
8,AausFP4,test,train
9,AausGFP,train,train
10,aceGFP,train,test
11,aceGFP-G222E-Y220L,train,train
12,aceGFP-h,test,train
13,AcGFP1,test,train
14,Achilles,train,train
15,AdRed,val,train
16,AdRed-C148S,train,train
17,aeurGFP,train,val
18,afCFP,val,train
19,afraGFP,test,train
20,alajGFP1,val,train
21,alajGFP2,train,train
22,alajGFP3,train,train
23,amCyan1,test,train
24,amFP486,train,test
25,amFP495,test,train
26,amFP506,test,train
27,amFP515,train,train
28,amilFP484,test,train
29,amilFP490,train,train
30,amilFP497,train,train
31,amilFP504,train,test
32,amilFP512,train,train
33,amilFP513,train,val
34,amilFP593,train,train
35,amilFP597,val,train
36,amilGFP,test,train
37,anm1GFP1,train,val
38,anm1GFP2,train,val
39,anm2CP,train,val
40,anobCFP1,train,train
41,anobCFP2,val,train
42,anobGFP,train,train
43,apulFP483,train,train
44,AQ14,train,val
45,AQ143,test,train
46,Aquamarine,train,val
47,asCP562,train,train
48,asFP499,train,test
49,AsRed2,test,train
50,asulCP,train,test
51,atenFP,train,val
52,avGFP,train,train
53,avGFP454,test,train
54,avGFP480,val,train
55,AvicFP1,val,train
56,AvicFP2,test,train
57,AvicFP3,train,test
58,AvicFP4,val,train
59,AzaleaB5,train,train
60,AzamiGreen,train,train
61,AzamiRed1.0,train,train
62,Azurite,train,test
63,BDFP2.0,test,train
64,bfloGFPa1,val,train
65,bfloGFPc1,train,val
66,BFP,train,val
67,BFP5,train,train
68,BFP.A5,val,train
69,Blue102,test,train
70,Bluebonnet2,train,train
71,BrUSLEE,val,train
72,bsDronpa,train,train
73,ccalGFP1,train,train
74,ccalGFP3,test,train
75,ccalOFP1,train,train
76,ccalRFP1,train,val
77,ccalYFP1,val,train
78,ccGFP E6,train,train
79,cEGFP,train,train
80,cerFP505,val,train
81,Cerulean,test,train
82,CFP,train,train
83,cFP484,train,val
84,cfSGFP2,test,train
85,cgfmKate2,train,test
86,CGFP,train,test
87,cgfTagRFP,train,test
88,CGP,train,val
89,CheGFP1,test,train
90,CheGFP2,train,val
91,Citrine,train,train
92,Citrine2,val,train
93,cjBlue,train,val
94,cjFP510,test,train
95,Clomeleon,train,train
96,Clover,train,train
97,cpCitrine,train,test
98,cp-mKate,test,train
99,CpYGFP,train,test
