index,name,surrogate_role,oracle_role
0,aacuGFP1,train,train
1,aacuGFP2,train,train
2,AausFP1,val,train
3,AausGFP,train,train
4,aceGFP,train,val
5,AcGFP1,val,train
6,Achilles,train,train
7,aeurGFP,train,train
8,afCFP,train,test
9,afraGFP,train,train
10,amFP486,train,val
11,amilFP490,train,val
12,amilFP513,test,train
13,amilFP593,train,val
14,amilGFP,train,test
15,anm2CP,test,train
16,anobCFP1,train,train
17,anobCFP2,test,train
18,anobGFP,val,train
19,AQ143,val,train
20,Aquamarine,train,train
21,AsRed2,train,train
22,asulCP,train,test
23,avGFP,train,train
24,AvicFP1,train,val
25,AvicFP2,train,train
26,AvicFP4,test,train
27,AzaleaB5,val,train
28,AzamiGreen,train,train
29,AzamiRed1.0,train,test
30,Azurite,train,test
31,bfloGFPa1,train,test
32,bfloGFPc1,train,test
33,BFP,val,train
34,BFP.A5,train,train
35,Blue102,train,train
36,BrUSLEE,test,train
37,bsDronpa,train,train
38,ccalGFP1,val,train
39,ccalGFP3,val,train
40,ccalOFP1,train,train
41,ccalRFP1,val,train
42,ccalYFP1,train,train
43,cerFP505,train,train
44,Cerulean,train,train
45,cFP484,train,test
46,cfSGFP2,train,val
47,cgfmKate2,train,train
48,CGFP,train,train
49,cgfTagRFP,test,train
50,Citrine,train,train
51,Citrine2,train,val
52,cjBlue,val,train
53,Clover,train,train
54,cpCitrine,val,train
55,CpYGFP,test,train
56,Crimson,train,train
57,CRISPRed2s,train,train
58,CyOFP1,train,train
59,CyPet,train,train
60,CyRFP1,train,val
61,D10,train,train
62,d1EosFP,train,train
63,d2EosFP,test,train
64,DarkVenus,val,train
65,dCyOFP2s,train,train
66,dCyRFP2s,train,train
67,deGFP1,train,train
68,deGFP2,test,train
69,deGFP3,test,train
70,deGFP4,train,train
71,dendFP,val,train
72,Dendra,train,train
73,Dendra2,train,val
74,Dendra2-M159A,train,val
75,Dendra2-T69A,test,train
76,dimer2,train,val
77,DimVenus,train,test
78,Diogenes,train,test
79,dKeima,train,train
80,dKeima570,train,train
81,dLanYFP,train,train
82,Dreiklang,train,test
83,Dronpa,val,train
84,Dronpa-2,val,train
85,Dronpa-3,test,train
86,dsFP483,train,train
87,DsRed,train,val
88,DsRed2,val,train
89,DsRed-Express,val,train
90,DsRed-Express2,test,train
91,DsRed.M1,test,train
92,DsRed-Max,train,test
93,DsRed-NF,train,train
94,DsRed.T3,test,train
95,DsRed.T4,train,train
96,dTFP0.1,train,test
97,dTFP0.2,train,train
98,dTomato,test,train
99,dVFP,test,train
100,E2-Crimson,train,train
101,E2-Orange,train,train
102,E2-Red/Green,train,train
103,EBFP,val,train
104,EBFP1.2,train,train
105,EBFP1.5,train,val
106,EBFP2,val,train
107,ECFP,train,train
108,ECFP H148D,train,val
109,ECGFP,test,train
110,eCGP123,train,test
111,eechGFP1,test,train
112,eechGFP2,train,train
113,eechGFP3,train,train
114,eechRFP,train,train
115,efasCFP,train,train
116,efasGFP,train,test
117,eforCP,val,train
118,EGFP,train,val
119,Electra1,test,train
120,Electra2,val,train
121,Emerald,train,val
122,EosFP,val,train
123,eqFP578,test,train
124,eqFP611,test,train
125,eqFP611 V124T,train,train
126,eqFP650,test,train
127,eqFP670,val,train
128,EYFP,train,test
129,EYFP-Q69K,train,val
130,eYGFP,train,test
131,eYGFPuv,train,val
132,eYGPdp,train,test
133,fabdGFP,test,train
134,ffDronpa,train,train
135,FOLD6,train,train
136,Folding Reporter GFP,val,train
137,FR-1,train,train
138,frSkylan-S,train,test
139,FusionRed,train,test
140,FusionRed-M,test,train
141,FusionRed-MQV,train,val
142,G1,val,train
143,G2,train,train
144,G3,train,train
145,Gamillus,test,train
146,Gamillus0.1,train,train
147,Gamillus0.2,val,train
148,Gamillus0.3,train,val
149,Gamillus0.4,train,train
150,GdT,train,train
151,gfasGFP,train,train
152,GFPmut2,train,test
153,GFPmut3,test,train
154,GFP (S65T),train,val
155,GGvT,val,train
156,h2-3,train,test
157,H9,train,train
158,HcRed,train,train
159,HcRed7,train,train
160,HcRed-Tandem,val,train
161,hmKeima8.5,val,train
162,Hyperfolder YFP,test,train
163,iFP2.0,train,train
164,iq-mEmerald,test,train
165,IrisFP,train,test
166,IrisFP-M159A,test,train
167,Jred,train,test
168,Kaede,train,train
169,Katushka,train,test
170,Katushka2S,train,train
171,KCY,train,train
172,KCY-G4219,train,test
173,KCY-R1,train,test
174,KFP1,train,val
175,KikG,train,train
176,KikGR1,train,train
177,KillerOrange,train,train
178,KillerRed,train,train
179,KO,train,train
180,Kohinoor,train,train
181,Kohinoor2.0,train,train
182,LanFP1,test,train
183,LanFP2,train,train
184,lanRFP-ΔS83l,train,val
185,LanYFP,train,test
186,laRFP,val,train
187,Lime,train,train
188,LSSA12,train,train
189,LSSmApple,test,train
190,LSSmCherry1,train,train
191,LSSmGFP,train,train
192,LSS-mKate1,train,train
193,LSS-mKate2,train,val
194,LSSmOrange,train,train
195,LSSmScarlet,val,train
196,LSSmScarlet2,train,train
197,LSSmScarlet3,train,train
198,M355NA,test,train
199,mAmetrine,train,test
200,mApple,train,train
201,Maroon0.1,train,train
202,mARs1,train,val
203,mAvicFP1,train,val
204,mAzamiGreen,train,test
205,mBanana,train,train
206,mBaoJin,test,train
207,mBaoJin-T55S,train,train
208,mBeRFP,train,test
209,mBlueberry1,val,train
210,mBlueberry2,train,train
211,mCardinal,train,val
212,mCarmine,val,train
213,mCerulean,train,train
214,mCerulean2,test,train
215,mCerulean2.D3,train,test
216,mCerulean2.N,train,train
217,mCerulean2.N(T65S),train,val
218,mCerulean3,train,train
219,mCerulean.B,train,val
220,mCerulean.B2,train,train
221,mCerulean.B24,val,train
222,mChartreuse,val,train
223,mCherry,val,train
224,mCherry2,train,val
225,mCherry-XL,train,train
226,mCitrine,train,test
227,mClavGR2,test,train
228,mClover3,train,train
229,mCRISPRed,train,test
230,mCyRFP1,train,train
231,mECFP,train,train
232,meffCFP,test,train
233,meffGFP,train,train
234,meffRFP,train,train
235,mEGFP,val,train
236,meleCFP,train,train
237,meleRFP,train,test
238,mEmerald,train,train
239,mEos2,train,val
240,mEos2-A69T,train,test
241,mEos3.1,train,train
242,mEos3.2,test,train
243,mEos4a,train,test
244,mEos4b,val,train
245,mEos4b-L93M,train,train
246,mEos4Fast1,train,train
247,mEos4Fast2,train,train
248,mEosEM,train,train
249,mEosFP,train,train
250,mEosFP-F173S,test,train
251,mEosFP-M159A,train,val
252,mEYFP,test,train
253,mGarnet,test,train
254,mGarnet2,val,train
255,mGeos-C,val,train
256,mGeos-E,val,train
257,mGeos-F,train,test
258,mGeos-L,train,test
259,mGeos-M,train,val
260,mGeos-S,train,train
261,mGFPmut3,test,train
262,mGinger1,val,train
263,mGinger2,test,train
264,mGold,train,train
265,mGold2s,train,train
266,mGold2t,val,train
267,mGrape1,train,test
268,mGrape2,train,train
269,mGrape3,test,train
270,mGreenLantern,train,train
271,mHoneydew,train,train
272,MiCy,train,train
273,mIrisFP,train,train
274,mJuniper,train,train
275,mKalama1,train,train
276,mKate,train,test
277,mKate2,test,train
278,mKate M41G S158C,train,test
279,mKate S158A,train,test
280,mKate S158C,train,test
281,mKeima,train,val
282,mKelly1,train,val
283,mKelly2,train,test
284,mKikGR,train,val
285,mKillerOrange,train,test
286,mKO,train,train
287,mKO2,train,train
288,mKOκ,train,val
289,mLemon,train,val
290,mLumin,test,train
291,mLychee,val,train
292,mMaple,test,train
293,mMaple3,train,test
294,mMaroon1,train,val
295,mMiCy,val,train
296,mmilCFP,train,val
297,mNectarine,train,train
298,mNeonGreen,train,val
299,mNeptune,train,train
300,mNeptune2,train,test
301,mNeptune2.5,train,train
302,mNeptune681,train,test
303,mNeptune684,train,test
304,Monomeric hyperfolder YFP,train,test
305,mOrange,train,train
306,mOrange2,val,train
307,moxBFP,train,val
308,moxCerulean3,train,train
309,moxDendra2,train,test
310,moxGFP,test,train
311,moxMaple3,train,train
312,moxNeonGreen,train,test
313,moxVenus,train,train
314,mPapaya,train,val
315,mPapaya0.7,train,train
316,mPlum,train,train
317,mRaspberry,train,train
318,mRFP1,train,train
319,mRFP1-Q66C,train,train
320,mRFP1-Q66S,train,val
321,mRFP1-Q66T,test,train
322,mRojoA,train,train
323,mRojoB,train,val
324,mRouge,train,val
325,mRtms5,val,train
326,mRuby,train,train
327,mRuby2,train,val
328,mRuby3,train,test
329,mRubyFT,val,train
330,mSandy2,train,train
331,mScarlet,val,train
332,mScarlet-220A,train,train
333,mScarlet-2A,train,train
334,mScarlet-2A-84W,train,train
335,mScarlet3,train,val
336,mScarlet3-H,val,train
337,mScarlet3-S2,train,train
338,mScarlet-H,train,train
339,mScarlet-I,train,train
340,mScarlet-I-220A,test,train
341,mScarlet-I3,train,train
342,mScarlet-I3-NCwt,train,train
343,msGFP2,train,train
344,mStable,train,val
345,mStayGold,train,train
346,mStayGold2,test,train
347,mStrawberry,train,train
348,mTagBFP2,train,train
349,mTangerine,train,train
350,mTFP0.3,test,train
351,mTFP0.7,train,train
352,mTFP1,train,train
353,mTFP1-Y67W,val,train
354,mT-Sapphire,train,val
355,mTurquoise,val,train
356,mTurquoise2,val,train
357,mTurquoise2-1710,train,train
