group,idx,name,ppl
ID,1,11,16.4738
ID,14,Achilles,15.8519
ID,18,afCFP,16.7255
ID,30,amilFP497,14.9811
ID,34,amilFP593,16.5830
ID,65,BDFP2.0,10.9286
ID,75,BrUSLEE,16.2414
ID,82,ccalOFP1,16.1554
ID,157,DsRed2,15.3795
ID,169,dVFP,15.9963
ID,239,GFP (S65T),16.8396
ID,249,GFPxm191uv,16.9560
ID,266,htFuncLib_acid.2,15.3856
ID,276,htFuncLib_bleach.1,15.9200
ID,349,Kaede,15.9013
ID,390,Lumazine binding protein,7.1860
ID,439,mCRISPRed,16.0460
ID,440,mCyRFP1,16.4266
ID,477,mGarnet2,17.2543
ID,487,mGold,16.0341
ID,489,mGold2t,16.1753
ID,490,mGrape1,14.5165
ID,526,mKeima,17.2541
ID,539,mKO2,15.3750
ID,546,mMaple2,15.6983
ID,553,mmilCFP,16.6524
ID,577,mPlum-E16P,16.0711
ID,627,mTFP1,15.8068
ID,642,(n1)oxStayGold,16.4608
ID,671,PAmCherry2,15.6374
ID,691,pHluorin2,17.0798
ID,708,plamGFP,16.4300
ID,715,Pp2FbFP L30M,4.1374
ID,751,roGFP2,16.8277
ID,754,RRvT,1.2758
ID,766,rsGreen1,16.0955
ID,783,SEYFP,15.9691
ID,811,SNIFP,4.7199
ID,835,TagCFP,16.9233
ID,857,tKeima,16.3959
OOD,25,amFP495,15.4141
OOD,36,amilGFP,15.3374
OOD,49,AsRed2,15.9698
OOD,94,cgfTagRFP,16.6599
OOD,112,CU17S,16.8171
OOD,144,dis3GFP,15.7559
OOD,164,DsRed.T4,15.6268
OOD,173,EaGFP,17.3359
OOD,195,emiRFP670,5.5664
OOD,198,EosFP,16.0303
OOD,206,EYFP-Q69K,16.3957
OOD,222,fwYellow,16.3837
OOD,223,G1,15.5454
OOD,261,hmGFP,17.3527
OOD,344,IrisFP,16.2634
OOD,365,KillerOrange,18.6331
OOD,384,LSS-mKate2,17.4309
OOD,389,LucY,3.4170
OOD,422,mCerulean2.N,16.3279
OOD,451,mEos2-A69T,15.6854
OOD,482,mGeos-M,15.9718
OOD,493,mGreenLantern,15.5988
OOD,517,mIrisFP,16.6638
OOD,518,mJuniper,16.0170
OOD,580,mRed7Q1,15.9438
OOD,620,mStayGold2,16.0893
OOD,623,mTangerine,14.3904
OOD,633,mTurquoise2_T203Y,16.6568
OOD,669,PA-GFP,16.6973
OOD,698,pHmScarlet,15.0732
OOD,705,pHmScarlet,15.0732
OOD,711,pmeaGFP2,16.6260
OOD,714,Pp2 FbFP,4.0724
OOD,726,PSLSSmKate,17.0641
OOD,755,rsCherry,15.3977
OOD,774,sarcGFP,16.2902
OOD,777,SCFP1,16.6283
OOD,784,sfOrange,15.4731
OOD,795,SH3,2.3926
OOD,810,smURFP_2.5,6.4125
